"series","episode","technical","result","Signature Bake","Show Stopper","Baker Name","Baker Age","Baker Occupation","Hometown"
3,3,10,"IN","Cinnamon, Apple and Pear Tarte Tatin","Rum and Tropical Fruit Tart","Manisha Parmar",27,"Nursery nurse","Leicester"
3,3,5,"IN","Spiced Pear Tarte Tatin","UNKNOWN","Ryan Chong",38,"Photographer","Bristol"
3,3,8,"IN","Caramelised Banana Tarte Tatin","French Apple Tart with Blackberry and Cassis Jam","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
3,3,7,"IN","Pear and Almond Tarte Tatin","Raspberry Triple Chocolate Layered Tart","Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
3,3,4,"OUT","Fig, Walnut and Pink Peppercorn Tarte Tatin","Tropical Fruit Tart with Black Pepper Crust","Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
3,3,1,"STAR BAKER","Apple and Lavender Tarte Tatin","Rose, Lychee and Raspberry Fruit Tart","James Morton",21,"Medical student","Hillswick, Shetland Islands"
3,4,3,"IN","White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
3,4,2,"IN","Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise","Danny Bryden",45,"Intensive care consultant","Sheffield"
3,4,5,"IN","Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue","James Morton",21,"Medical student","Hillswick, Shetland Islands"
3,4,6,"IN","'Torte Noir' Black Forest Torte with Boozy Cream","Elderflower and Bramble Berry Pavlova","John Whaite",22,"Law student","Wigan"
3,4,9,"IN","Almond, Chocolate and Cherry Torte","Tiramisu Layered Meringue Dessert","Manisha Parmar",27,"Nursery nurse","Leicester"
3,4,7,"IN","Green Tea Opera Torte","Strawberry, Rose and Pistachio Meringue","Ryan Chong",38,"Photographer","Bristol"
3,4,4,"IN","Chocolate and Almond Truffle Torte","Hazelnut Tiramisu Layered Meringue","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
3,4,8,"OUT","Black Forest Torte","Choca Blocka Mocha Meringue","Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
3,4,1,"STAR BAKER","Clementine and Chestnut Torte","Pear, Chocolate and Hazelnut Dacquoise","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
3,5,3,"IN","Salmon Coulibiac in a Scandinavian Pastry","All American Chiffon Pie","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
3,5,1,"IN","Full English Wellington","Chocolate and Peanut Butter Pumpkin Pie","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
3,5,7,"IN","Chickpea, Spinach & Mushroom Wellington","Trick or Treat Pumpkin Pie","Danny Bryden",45,"Intensive care consultant","Sheffield"
3,5,6,"IN","Four Pig Wellington","Sweet Potato Pie","James Morton",21,"Medical student","Hillswick, Shetland Islands"
3,5,2,"IN","Venison and Haggis Wellington","Star-Spangled Pecan Pie","John Whaite",22,"Law student","Wigan"
3,5,4,"IN","Beef Wellington with Parma Ham and Gorgonzola Cheese","Chocolate and Banana Cream Pie","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
3,5,5,"OUT","Lamb Wellington with Rosemary and Mint","Banana Scotch Pie","Manisha Parmar",27,"Nursery nurse","Leicester"
3,5,8,"STAR BAKER","Curry Spiced Seabass Wellington","Key Lime Pie","Ryan Chong",38,"Photographer","Bristol"
3,6,3,"IN","Chocolate Walnut Whip Puddings
Elderflower Sponges","Roasted Vegetable Couscous and Sheep Cheese Strudel","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
3,6,2,"IN","Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants","Leek, Potato, Pistachio and Gruyère Strudel","Danny Bryden",45,"Intensive care consultant","Sheffield"
3,6,7,"IN","Banana and Clove PuddingsClootie Dumplings","Strawberry, Rhubarb and Ginger Strudel","James Morton",21,"Medical student","Hillswick, Shetland Islands"
3,6,5,"IN","Spicy Toffee PuddingsRaspberry and White Chocolate Puddings","Did not complete due to injury","John Whaite",22,"Law student","Wigan"
3,6,6,"IN","Chocolate FondantsSticky Ginger and Date Puddings","Apple, Sour Cherry, Raisin and Mixed Nuts Strudel","Ryan Chong",38,"Photographer","Bristol"
3,6,4,"IN","Sticky Toffee PuddingsGranny's Saucy Lemon Puddings","Sweet Strudel with Sour Cherries","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
3,6,1,"STAR BAKER","Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
3,7,4,"IN","Chelsea Bunskis","Black Forest Christmas Stollen","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
3,7,5,"IN","Lady Arundel's Manchet Buns","Bonfire Night Tear 'n' Share Brioche","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
3,7,1,"IN","Easter Chelsea Buns","Whisky Kugelhopf-Brioche Baba","James Morton",21,"Medical student","Hillswick, Shetland Islands"
3,7,3,"IN","Cherry and Almond Saffron Buns","Marzipan Stollen","John Whaite",22,"Law student","Wigan"
3,7,6,"OUT","Lardy Cakes","Char Siu Bao","Ryan Chong",38,"Photographer","Bristol"
3,7,7,"OUT","Orange, Nutmeg and Saffron Buns","Sour Cherry and Dark Chocolate Christmas Plait","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
3,7,2,"STAR BAKER","Bakewell Chelsea Buns","European Christmas Wreath","Danny Bryden",45,"Intensive care consultant","Sheffield"
3,8,2,"IN","Multi-Seed Savoury Crackers","Fantasy Gingerbread Bird House","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
3,8,4,"IN","Spiced Almond Drinks Crackers","Gingerbread Big Ben","Danny Bryden",45,"Intensive care consultant","Sheffield"
3,8,3,"IN","Asian Spice Crackers","Gingerbread Roman Coliseum","John Whaite",22,"Law student","Wigan"
3,8,5,"OUT","Cheese and Pickle Crackers","Gingerbread Buckingham Palace","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
3,8,1,"STAR BAKER","Smoky Cayenne, Cumin and Chilli Crackers","Gingerbread Barn","James Morton",21,"Medical student","Hillswick, Shetland Islands"
3,9,3,"IN","Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","Gateau St. Honoré","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
3,9,2,"IN","Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons","Gateau St. Honoré a la Passion","John Whaite",22,"Law student","Wigan"
3,9,4,"OUT","Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat","Rosewater and Lychee St. Honoré","Danny Bryden",45,"Intensive care consultant","Sheffield"
3,9,1,"STAR BAKER","Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest","James Morton",21,"Medical student","Hillswick, Shetland Islands"
3,10,2,"WINNER","Italian Sausage and Roasted Vegetable Pithivier","Heaven and Hell Chiffon Cake","John Whaite",22,"Law student","Wigan"
3,10,2,"Runner-up","Potato and Pepper Pithivier","Family Reunion Chiffon Cake","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
3,10,1,"Runner-up","Spanish Pithivier with Chorizo and Red Pepper","United Chiffon Cakes","James Morton",21,"Medical student","Hillswick, Shetland Islands"
4,1,11,"IN","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake","Ali Imdad",25,"Charity worker","Saltley, Birmingham"
4,1,8,"IN","Grapefruit Sandwich Cake","Chocolate Cherry Indulgence","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
4,1,3,"IN","Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
4,1,9,"IN","Pineapple Cake","'Coffee Time'","Deborah Manger",51,"Dentist","Peterborough"
4,1,7,"IN","Giant Jam Sandwich","Secret Squirrel Cake","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
4,1,4,"IN","Strawberries and Cream Cake","Almond and Espresso Chocolate Cake","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
4,1,6,"IN","Passion Fruit and Coconut Cake","Black Forest Revisited","Howard Middleton",51,"Council Worker","Sheffield"
4,1,10,"IN","Blood Orange Cake","Chocolate, Raspberry & Basil Layer Cake","Kimberley Wilson",30,"Psychologist","London"
4,1,2,"IN","Timperley Early Cake","Thyme 'Wildwood' Cake","Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
4,1,5,"IN","Lemon and Poppy Seed Cake","Chocolate Monster","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
4,1,12,"IN","Rhubarb and Custard Sandwich Cake","Chocolate and Ginger Night Sky Cake","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
4,1,13,"OUT","Spiced and Iced Carrot Cake","Two Tiered Chocolate Cake","Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
4,1,1,"STAR BAKER","Pecan and Apple Cake","Raspberry Chocolate Cake","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
4,2,9,"IN","Italian Grissini","Sweet and Savoury Yin Yang Bread","Ali Imdad",25,"Charity worker","Saltley, Birmingham"
4,2,11,"IN","Fennel and Chilli Breadsticks","Five Strand Christmas Wreath","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
4,2,4,"IN","Mediterranean Breadsticks with Oregano","Double Plaited Loaf","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
4,2,8,"IN","Fennel & Chilli Breadsticks","Walnut Fleur Loaf","Deborah Manger",51,"Dentist","Peterborough"
4,2,2,"IN","Giant Matchsticks","Sailor's Knot","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
4,2,7,"IN","Rosemary and Parmesan Grissini","Harvest Crown","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
4,2,10,"IN","Moroccan Breadsticks","Picasso Sun Bread","Howard Middleton",51,"Council Worker","Sheffield"
4,2,1,"IN","Nigella Seed and Parmesan Breadsticks","Peace Bread","Kimberley Wilson",30,"Psychologist","London"
4,2,6,"IN","Rosemary & Raisin Breadsticks","Sage & Garlic Plait","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
4,2,5,"IN","Twisty Rye Bread Sticks","Tribute Loaf","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
4,2,12,"OUT","Grissini with Salt","Roast Tomato Bread","Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
4,2,3,"STAR BAKER","Mexican Breadsticks","White Chocolate and Orange Peacock Bread","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
4,3,5,"IN","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops","Ali Imdad",25,"Charity worker","Saltley, Birmingham"
4,3,10,"IN","Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
4,3,8,"IN","Apple and Blackberry Crumble Trifle","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
4,3,1,"IN","Raspberry and Almond Trifle","Billionaire BouchéesOrange Financiers","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
4,3,7,"IN","Caramel and Apple Trifle*","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits","Howard Middleton",51,"Council Worker","Sheffield"
4,3,6,"IN","Peach, Almond and Ginger Trifle","Chocolate Pistachio FinanciersLemon Bergamot Biscuits","Kimberley Wilson",30,"Psychologist","London"
4,3,2,"IN","Rhubarb and Orange Trifle","Almond FriandsTurǫn Macaroons","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
4,3,3,"IN","Desert Island Trifle","Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
4,3,9,"OUT","Tropical Trifle*","Canelé Cherry and Chocolate CakesRose Cookies","Deborah Manger",51,"Dentist","Peterborough"
4,3,11,"OUT","Ginger, Mango and Passion Fruit Trifle","Rose and Pistachio MacaroonsChocolate and Raspberry Bites","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
4,3,4,"STAR BAKER","Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
4,4,2,"IN","Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
4,4,7,"IN","Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
4,4,1,"IN","Peach Pie In the Sky","Cherry Tree Baklava Filo Pie","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
4,4,9,"IN","Apple & Maple Syrup Pie","Spanakopita (Walnut and Feta Cheese)","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
4,4,5,"IN","Apple Pie with Sage Pastry","Fresh Fig and Feta Filo Flan","Howard Middleton",51,"Council Worker","Sheffield"
4,4,3,"IN","Apple and Pear Pie with Thyme","Spanakopita with St George's Mushrooms","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
4,4,6,"IN","Apple and Marzipan Pie","Rose, Almond and Raspberry Filo Pie","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
4,4,8,"OUT","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha","Ali Imdad",25,"Charity worker","Saltley, Birmingham"
4,4,4,"STAR BAKER","Pecan and Rosemary Caramel Apple Pie","Chicken, Bacon and Butternut Squash Pie","Kimberley Wilson",30,"Psychologist","London"
4,5,5,"IN","Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
4,5,3,"IN","Millionaire Banoffee Bonus","Biscuit Buttons and Beads","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
4,5,2,"IN","Apricot and Pistachio Tiffin","Shortbread and Macaron Helter-Skelter","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
4,5,8,"IN","Breakfast Traybake","Japanese Pagoda Tea Tower","Howard Middleton",51,"Council Worker","Sheffield"
4,5,7,"IN","Cherry and Almond Bakewell Florentine Slice","Black and White Viennese Biscuit Stack","Kimberley Wilson",30,"Psychologist","London"
4,5,6,"IN","Blackberry and Lemon Bakewell Slice","'Dropped Ice-Cream' Biscuit Centrepiece","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
4,5,4,"OUT","Blueberry & Orange Traybake","Dalek","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
4,5,1,"STAR BAKER","Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
4,6,6,"IN","Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
4,6,4,"IN","Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
4,6,2,"IN","Chai Tea Loaf","Hot Cross BriochesRhubarb and Custard Kolaches","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
4,6,5,"IN","Devonshire Panettone","Almond and Apricot BriochesSticky Caramel Kanelbullen","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
4,6,3,"IN","Chai Spiced Ginger and Date Tea Loaf","Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer","Kimberley Wilson",30,"Psychologist","London"
4,6,7,"OUT","Date & Hemp Yorkshire Loaf","Peachy BunsGerman Baumschnecken","Howard Middleton",51,"Council Worker","Sheffield"
4,6,1,"STAR BAKER","Citrus Tea Loaf","Twisted Swedish KanelbullarSaffron St. Lucia Buns","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
4,7,1,"IN","Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
4,7,6,"IN","Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
4,7,4,"IN","Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard","Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette","Kimberley Wilson",30,"Psychologist","London"
4,7,2,"IN","Plum Jam Roly-Polywith Ginger Ice cream","Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
4,7,3,"OUT","Prune and Armagnac Puddingwith Boozy Butterscotch Sauce","Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
4,7,5,"STAR BAKER","Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream","French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
4,8,4,"IN","Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
4,8,3,"IN","'Chelsea Flour Show' Bun Bouquet","Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
4,8,2,"IN","Wild Garlic Pesto and Parma Ham Spelt Loaf","Butternut Squash and Spice Cake Toadstool House","Kimberley Wilson",30,"Psychologist","London"
4,8,5,"OUT","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
4,8,1,"STAR BAKER","Mango and Nigella Seed Spelt Cob","Carrot Cake and Pistachio Garden Plot","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
4,9,2,"IN","Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones","Great British Soap Opera Cake","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
4,9,4,"IN","Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
4,9,3,"OUT","Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
4,9,1,"STAR BAKER","Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken","Passion Fruit and Lime Opera Cake","Kimberley Wilson",30,"Psychologist","London"
4,10,3,"WINNER","Rainbow Picnic Pie","Midsummer Night's Dream Wedding Cake","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
4,10,1,"Runner-up","Chicken and Pig Pie","Languages of Love Wedding Cake","Kimberley Wilson",30,"Psychologist","London"
4,10,2,"Runner-up","Picnic Basket Pie","Raspberry, Lemon and Passion Fruit Wedding Cake","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
5,1,3,"IN","Cardamom, Pistachio and Coffee Swiss Roll","Tiered Victoria Sponges with Lemon Curd and Raspberry Cream","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent"
5,1,5,"IN","Mum's Sunday Tea Lemon Curd Swiss Roll","Chocolate Ganache Surprises","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
5,1,9,"IN","Raspberry and Lemon Swiss Roll","Coffee and Walnut Battenberg Squares","Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
5,1,4,"IN","Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream","Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon","Iain Watters",31,"Construction Engineer","London/Belfast"
